StartTime,Flgs,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,TotPkts,TotBytes,State
1574786739.070039, e        ,tcp,140.82.114.25,443,  <?>,192.168.0.126,52622,4,330,CON
1574786739.375608, e        ,arp,192.168.0.100,,  who,192.168.0.200,,3,180,INT
1574786739.580562, e        ,udp,192.168.0.191,54383,   ->,239.255.255.250,1900,3,648,INT
1574786739.867153, e        ,tcp,192.168.0.126,53167,   ->,40.77.226.250,443,19,6671,FIN
1574786739.888429, e        ,arp,192.168.0.101,,  who,192.168.0.200,,5,300,INT
1574786739.990123, e        ,arp,192.168.0.102,,  who,192.168.0.200,,3,180,INT
1574786740.778188, e        ,tcp,192.168.0.126,64295,  <?>,17.248.134.154,443,8,2323,CON
1574786740.936947, e        ,tcp,192.168.0.126,65223,  <?>,18.211.118.21,443,4,376,CON
1574786741.423845, e        ,udp,192.168.0.135,5353,   ->,224.0.0.251,5353,1,119,INT
1574786741.424613, e        ,udp,192.168.0.109,5353,   ->,224.0.0.251,5353,2,809,INT
1574786741.426038, e        ,udp,192.168.0.105,5353,   ->,224.0.0.251,5353,2,809,INT
1574786742.244142, e        ,tcp,192.168.0.126,64279,  <?>,52.27.133.176,443,109,18598,CON
1574786744.393407, e        ,arp,192.168.0.100,,  who,192.168.0.200,,5,300,INT
1574786744.762256, e g      ,tcp,192.168.0.126,53163,  <?>,52.114.74.43,443,14,8486,FIN
1574786744.940973, e g      ,tcp,192.168.0.126,52938,  <?>,18.234.32.175,443,10,3046,CON
1574786745.007779, e        ,arp,192.168.0.102,,  who,192.168.0.200,,5,300,INT
1574786746.032191, e        ,udp,192.168.0.122,52844,   ->,255.255.255.255,10001,1,188,INT
1574786746.032565, e        ,udp,192.168.0.121,41620,   ->,255.255.255.255,10001,1,188,INT
1574786746.898960, e        ,tcp,192.168.0.126,53162,  <?>,13.107.136.9,443,9,3115,CON
1574786746.953442, e        ,arp,192.168.0.101,,  who,192.168.0.200,,6,360,INT
1574786747.055967, e        ,udp,192.168.0.131,17500,   ->,255.255.255.255,17500,1,211,INT
1574786747.056423, e        ,udp,192.168.0.131,17500,   ->,192.168.0.255,17500,1,211,INT
1574786748.353907, e        ,udp,192.168.0.126,60427,  <->,192.168.0.1,53,2,188,CON
1574786748.372090, e        ,tcp,192.168.0.126,53169,   ->,23.194.116.90,443,12,2799,CON
1574786748.488193, e        ,udp,192.168.0.126,49597,  <->,192.168.0.1,53,2,194,CON
1574786748.506202, e        ,tcp,192.168.0.126,53170,   ->,23.12.144.170,443,32,11391,CON
1574786749.372658, e        ,udp,192.168.0.126,57673,  <->,192.168.0.1,53,2,198,CON
1574786749.391121, e r      ,tcp,192.168.0.126,53171,   ->,172.217.164.174,443,56,11273,FIN
1574786749.411268, e        ,arp,192.168.0.100,,  who,192.168.0.200,,3,180,INT
1574786749.498029, e        ,udp,192.168.0.126,61431,  <->,192.168.0.1,53,2,190,CON
1574786749.500624, e        ,tcp,192.168.0.126,53172,   ->,17.249.105.246,443,16,6681,CON
1574786749.503927, e        ,udp,192.168.0.126,61337,  <->,192.168.0.1,53,2,186,CON
1574786749.553025, e        ,tcp,192.168.0.126,53173,   ->,34.230.214.69,443,16,6854,FIN
1574786749.608088, e        ,tcp,192.168.0.126,53174,   ->,34.230.214.69,443,19,8063,CON
1574786749.633200, e        ,udp,192.168.0.126,58656,  <->,192.168.0.1,53,2,198,CON
1574786749.650526, e        ,tcp,192.168.0.126,53175,   ->,17.253.21.206,443,17,5499,CON
1574786749.729026, e        ,udp,192.168.0.126,60913,  <->,192.168.0.1,53,2,158,CON
1574786749.747062, e        ,tcp,192.168.0.126,53176,   ->,34.231.140.119,443,21,10573,CON
1574786749.841180, e        ,udp,192.168.0.126,61399,  <->,192.168.0.1,53,2,258,CON
1574786749.841731, e        ,udp,192.168.0.126,51635,  <->,192.168.0.1,53,2,240,CON
1574786749.860581, e        ,tcp,192.168.0.126,53177,   ->,23.0.59.88,443,24,7139,RST
1574786749.944138, e        ,tcp,192.168.0.126,53178,   ->,13.226.96.49,443,120,75880,CON
1574786750.002745, e        ,udp,192.168.0.126,64565,  <->,192.168.0.1,53,2,265,CON
1574786750.020035, e        ,tcp,192.168.0.126,53179,   ->,99.84.101.31,443,307,252008,CON
1574786750.025525, e        ,arp,192.168.0.102,,  who,192.168.0.200,,4,240,INT
1574786750.164434, e        ,tcp,192.168.0.126,65223,  <?>,18.211.118.21,443,3,310,CON
1574786750.173751, e        ,udp,192.168.0.126,58095,  <->,192.168.0.1,53,2,208,CON
1574786750.191651, e        ,tcp,192.168.0.126,53180,   ->,31.13.66.19,443,159,106943,CON
1574786750.212141, e        ,tcp,192.168.0.126,53064,  <?>,172.217.5.238,443,7,705,CON
1574786750.369165, e        ,udp,192.168.0.126,62704,  <->,192.168.0.1,53,2,197,CON
1574786750.386402, e s      ,tcp,192.168.0.126,53181,   ->,31.13.66.35,443,36,8144,CON
1574786750.508886, e        ,tcp,192.168.0.126,53182,   ->,13.226.96.49,443,34,11213,CON
1574786750.844901, e        ,udp,192.168.0.113,5353,   ->,224.0.0.251,5353,3,595,INT
1574786750.845276, e        ,udp,fe80::1c33:e83d:59b8:c9ae,5353,   ->,ff02::fb,5353,3,655,INT
1574786750.889310, e        ,udp,192.168.0.126,5353,   ->,192.168.0.113,5353,1,332,INT
1574786750.947514, e        ,udp,192.168.0.189,5353,   ->,224.0.0.251,5353,3,405,INT
1574786750.947949, e        ,udp,fe80::103e:b23:2e8e:4dcc,5353,   ->,ff02::fb,5353,3,465,INT
1574786751.019076, e        ,tcp,40.97.170.178,443,  <?>,192.168.0.126,64251,2,224,CON
1574786751.021641, e        ,udp,192.168.0.126,5353,   ->,192.168.0.189,5353,1,332,INT
1574786751.561512, e        ,udp,fe80::ae1f:6bff:fe4c:b572,546,   ->,ff02::1:2,547,1,98,INT
1574786751.868799, e        ,ipv6-icmp,fe80::1c33:e83d:59b8:c9ae,143,   ->,ff02::16,0,2,180,MHR
1574786751.870001, e        ,ipv6-icmp,fe80::103e:b23:2e8e:4dcc,143,   ->,ff02::16,0,2,180,MHR
1574786751.971159, e     A  ,igmp,192.168.0.189,,   ->,224.0.0.251,,1,46,INT
1574786751.971248, e     A  ,igmp,192.168.0.189,,   ->,224.0.0.251,,1,46,INT
1574786752.244676, e g      ,tcp,192.168.0.126,64279,  <?>,52.27.133.176,443,110,18887,CON
1574786752.540727, e        ,tcp,52.96.28.2,443,  <?>,192.168.0.126,64761,2,152,CON
1574786752.540742, e        ,tcp,52.96.36.130,443,  <?>,192.168.0.126,64210,2,152,CON
1574786752.547065, e        ,tcp,52.96.36.130,443,  <?>,192.168.0.126,64212,2,152,CON
1574786752.548589, e        ,tcp,52.96.36.130,443,  <?>,192.168.0.126,64211,2,152,CON
1574786752.585716, e        ,udp,192.168.0.155,45032,   ->,239.255.255.250,1900,4,856,INT
1574786752.586057, e        ,udp,192.168.0.105,5353,   ->,224.0.0.251,5353,4,655,REQ
1574786752.688129, e        ,udp,192.168.0.109,5353,   ->,224.0.0.251,5353,1,268,REQ
1574786752.788763, e        ,udp,192.168.0.126,62705,  <->,192.168.0.1,53,2,208,CON
1574786752.806930, e        ,tcp,192.168.0.126,53183,   ->,13.33.73.70,443,174,129384,CON
1574786752.892716, e        ,arp,192.168.0.101,,  who,192.168.0.200,,3,180,INT
1574786752.945452, e        ,udp,192.168.0.126,62177,  <->,192.168.0.1,53,2,258,CON
1574786752.946200, e        ,udp,192.168.0.126,57358,  <->,192.168.0.1,53,2,254,CON
1574786752.948834, e        ,udp,192.168.0.126,56565,  <->,192.168.0.1,53,2,172,CON
1574786752.949603, e        ,udp,192.168.0.126,62565,  <->,192.168.0.1,53,2,252,CON
1574786752.951422, e        ,udp,192.168.0.126,54973,  <->,192.168.0.1,53,2,252,CON
1574786752.951928, e        ,udp,192.168.0.126,55577,  <->,192.168.0.1,53,2,252,CON
1574786752.952461, e        ,udp,192.168.0.126,58708,  <->,192.168.0.1,53,2,252,CON
1574786752.964199, e        ,tcp,192.168.0.126,53184,   ->,23.209.38.155,443,30,18909,CON
1574786752.964954, e        ,tcp,192.168.0.126,53185,   ->,23.209.38.210,443,3959,4067321,CON
1574786752.965752, e        ,tcp,192.168.0.126,53186,   ->,23.194.117.40,443,164,123490,CON
1574786752.967218, e        ,tcp,192.168.0.126,53187,   ->,23.209.38.203,443,494,330746,CON
1574786752.969037, e s      ,tcp,192.168.0.126,53188,   ->,23.209.38.210,443,138,84408,CON
1574786752.970633, e        ,tcp,192.168.0.126,53189,   ->,23.209.38.192,443,67,27296,CON
1574786752.971193, e        ,tcp,192.168.0.126,53190,   ->,23.209.38.185,443,100,60269,CON
1574786753.114815, e        ,udp,192.168.0.126,60173,  <->,192.168.0.1,53,2,162,CON
1574786753.115224, e        ,udp,192.168.0.126,51757,  <->,192.168.0.1,53,2,321,CON
1574786753.115511, e        ,udp,192.168.0.126,50438,  <->,192.168.0.1,53,2,313,CON
1574786753.132761, e        ,tcp,192.168.0.126,53191,   ->,139.104.188.6,443,15,7562,CON
1574786753.134398, e        ,tcp,192.168.0.126,53192,   ->,23.46.198.99,443,551,469685,CON
1574786753.135073, e        ,tcp,192.168.0.126,53193,   ->,35.173.146.210,443,17,7126,CON
1574786753.278897, e        ,udp,192.168.0.126,49844,  <->,192.168.0.1,53,2,384,CON
1574786753.298922, e        ,tcp,192.168.0.126,53194,   ->,52.1.137.156,443,28,12575,CON
1574786753.368480, e        ,udp,192.168.0.126,58094,  <->,192.168.0.1,53,2,226,CON
1574786753.386506, e        ,tcp,192.168.0.126,53195,   ->,172.217.5.226,443,171,106585,CON
1574786753.684024, e        ,udp,192.168.0.126,49413,  <->,192.168.0.1,53,2,283,CON
1574786753.702466, e        ,tcp,192.168.0.126,53196,   ->,52.2.12.12,443,19,8349,CON
1574786753.733610, e        ,udp,192.168.0.126,56958,  <->,192.168.0.1,53,2,328,CON
1574786753.751304, e        ,tcp,192.168.0.126,53197,   ->,54.201.84.110,443,30,9587,CON
1574786754.176701, e        ,udp,192.168.0.126,57035,  <->,192.168.0.1,53,2,190,CON
1574786754.194957, e r      ,tcp,192.168.0.126,53198,   ->,139.104.188.6,443,19,9748,CON
1574786754.294240, e        ,tcp,192.168.0.126,53199,   ->,172.217.5.226,443,60,13372,CON
1574786754.294629, e        ,udp,192.168.0.126,53188,  <->,192.168.0.1,53,2,222,CON
1574786754.302410, e        ,udp,192.168.0.126,54202,  <->,192.168.0.1,53,2,244,CON
1574786754.306473, e        ,udp,192.168.0.126,63033,  <->,192.168.0.1,53,2,202,CON
1574786754.313394, e        ,tcp,192.168.0.126,53200,   ->,172.217.7.226,443,225,125084,CON
1574786754.320642, e        ,tcp,192.168.0.126,53201,   ->,23.218.63.181,443,21,9048,CON
1574786754.324687, e        ,tcp,192.168.0.126,53202,   ->,66.235.128.24,443,27,11510,CON
1574786754.428772, e        ,arp,192.168.0.100,,  who,192.168.0.200,,5,300,INT
1574786754.531184, e        ,arp,192.168.0.120,,  who,192.168.0.120,,1,60,RSP
1574786754.582792, e        ,tcp,192.168.0.126,53145,  <?>,40.97.30.130,443,19,7298,CON
1574786754.713583, e        ,tcp,192.168.0.126,53203,   ->,23.209.38.155,443,54,38922,CON
1574786754.714671, e        ,udp,192.168.0.126,53398,  <->,192.168.0.1,53,2,269,CON
1574786754.716307, e        ,udp,192.168.0.126,52930,  <->,192.168.0.1,53,2,315,CON
1574786754.716784, e        ,udp,192.168.0.126,52539,  <->,192.168.0.1,53,2,221,CON
1574786754.733373, e        ,tcp,192.168.0.126,53204,   ->,23.46.197.37,443,55,42990,CON
1574786754.734064, e        ,tcp,192.168.0.126,53205,   ->,52.73.66.110,443,30,9300,CON
1574786754.735393, e s      ,tcp,192.168.0.126,53206,   ->,151.101.248.157,443,73,45559,CON
1574786754.877568, e        ,tcp,192.168.0.126,53207,   ->,40.77.226.250,443,18,6605,FIN
1574786755.029872, e        ,udp,192.168.0.126,55865,  <->,192.168.0.1,53,2,408,CON
1574786755.031553, e        ,udp,192.168.0.126,52075,  <->,192.168.0.1,53,2,212,CON
1574786755.047585, e        ,tcp,192.168.0.126,53208,   ->,66.235.147.239,443,32,8648,CON
1574786755.048727, e        ,tcp,192.168.0.126,53209,   ->,192.243.250.58,443,16,5546,CON
1574786755.156432, e        ,udp,192.168.0.126,63040,  <->,192.168.0.1,53,2,386,CON
1574786755.173957, e        ,tcp,192.168.0.126,53210,   ->,52.1.137.156,443,20,8798,CON
1574786755.312182, e        ,tcp,192.168.0.126,65223,  <?>,18.211.118.21,443,2,190,CON
1574786755.557170, e        ,udp,192.168.0.126,53364,  <->,192.168.0.1,53,2,353,CON
1574786755.564349, e        ,udp,192.168.0.126,51407,  <->,192.168.0.1,53,2,230,CON
1574786755.567444, e        ,udp,192.168.0.126,55638,  <->,192.168.0.1,53,2,343,CON
1574786755.575222, e        ,tcp,192.168.0.126,53211,   ->,35.169.46.54,443,54,40568,CON
1574786755.576973, e        ,udp,192.168.0.126,54143,  <->,192.168.0.1,53,2,339,CON
1574786755.582873, e        ,tcp,192.168.0.126,53212,   ->,104.244.42.72,443,25,6760,CON
1574786755.585296, e        ,tcp,192.168.0.126,53213,   ->,52.21.68.184,443,23,9314,CON
1574786755.618838, e d      ,tcp,192.168.0.126,53214,   ->,34.226.97.146,443,67,41991,CON
1574786755.787778, e        ,udp,192.168.0.126,62368,  <->,192.168.0.1,53,2,264,CON
1574786755.806312, e        ,tcp,192.168.0.126,53215,   ->,23.209.38.186,443,954,854068,CON
1574786755.819114, e        ,udp,192.168.0.126,51767,  <->,192.168.0.1,53,2,270,CON
1574786755.839917, e        ,tcp,192.168.0.126,53216,   ->,23.209.38.160,443,899,803309,CON
1574786756.067235, e        ,arp,192.168.0.102,,  who,192.168.0.200,,6,360,INT
1574786756.067633, e        ,udp,192.168.0.121,37916,   ->,255.255.255.255,10001,1,188,INT
1574786756.068051, e        ,udp,192.168.0.122,43959,   ->,255.255.255.255,10001,1,188,INT
1574786756.083583, e        ,udp,192.168.0.126,49280,  <->,192.168.0.1,53,2,322,CON
1574786756.090680, e        ,udp,192.168.0.126,52048,  <->,192.168.0.1,53,2,374,CON
1574786756.092613, e        ,udp,192.168.0.126,55915,  <->,192.168.0.1,53,2,327,CON
1574786756.105375, e s      ,tcp,192.168.0.126,53217,   ->,152.199.6.24,443,51,11301,CON
1574786756.112680, e r      ,tcp,192.168.0.126,53218,   ->,8.43.72.113,443,22,7866,CON
1574786756.115094, e        ,tcp,192.168.0.126,53219,   ->,68.67.179.133,443,19,7107,CON
1574786756.178138, e r      ,tcp,192.168.0.126,53220,   ->,8.43.72.113,443,22,7866,CON
1574786756.342711, e        ,tcp,192.168.0.126,64287,  <?>,52.177.166.224,443,5,446,CON
1574786756.429084, e        ,tcp,40.97.170.178,443,  <?>,192.168.0.126,64208,6,1485,CON
1574786756.680981, e        ,udp,192.168.0.126,51583,  <->,192.168.0.1,53,2,229,CON
1574786756.699101, e        ,tcp,192.168.0.126,53221,   ->,172.217.13.225,443,211,164298,CON
1574786756.793172, e        ,udp,192.168.0.126,54963,  <->,192.168.0.1,53,2,228,CON
1574786756.810586, e        ,tcp,192.168.0.126,53222,   ->,172.217.13.72,443,63,37671,CON
1574786756.887297, e        ,udp,fe80::45ad:313f:dcac:a139,54390,   ->,ff02::c,3702,6,4308,INT
1574786756.888344, e        ,udp,192.168.0.191,54389,   ->,239.255.255.250,3702,6,4188,INT
1574786756.909155, e        ,udp,192.168.0.126,54172,  <->,192.168.0.1,53,2,248,CON
1574786756.909539, e        ,tcp,192.168.0.126,53180,   ->,31.13.66.19,443,257,219205,CON
1574786756.913083, e        ,udp,192.168.0.126,65011,  <->,192.168.0.1,53,2,225,CON
1574786756.913854, e        ,udp,192.168.0.126,58768,  <->,192.168.0.1,53,2,211,CON
1574786756.928478, e        ,tcp,192.168.0.126,53223,   ->,13.107.21.200,443,46,19366,CON
1574786756.930707, e s      ,tcp,192.168.0.126,53224,   ->,151.101.248.157,443,31,9410,CON
1574786756.932319, e        ,tcp,192.168.0.126,53225,   ->,69.147.92.11,443,41,15438,CON
1574786756.943607, e        ,tcp,192.168.0.126,64151,  <?>,17.57.144.52,5223,4,386,CON
1574786757.077273, e        ,tcp,192.168.0.126,53226,   ->,69.147.92.11,443,32,9520,CON
1574786757.084030, e        ,udp,192.168.0.126,61335,  <->,192.168.0.1,53,2,229,CON
1574786757.085312, e        ,udp,192.168.0.126,60429,  <->,192.168.0.1,53,2,242,CON
1574786757.085962, e        ,udp,192.168.0.126,51507,  <->,192.168.0.1,53,2,174,CON
1574786757.102296, e        ,tcp,192.168.0.126,53227,   ->,63.241.108.104,443,33,16641,CON
1574786757.103671, e        ,tcp,192.168.0.126,53228,   ->,23.46.198.165,443,131,107221,CON
1574786757.104462, e        ,tcp,192.168.0.126,53229,   ->,54.70.234.184,443,30,8691,CON
1574786757.137349, e        ,udp,192.168.0.126,58834,  <->,192.168.0.1,53,2,211,CON
1574786757.155260, e d      ,tcp,192.168.0.126,53230,   ->,172.217.8.6,443,46,12212,CON
1574786757.173911, e        ,udp,192.168.0.126,52475,  <->,192.168.0.1,53,2,227,CON
1574786757.186907, e        ,udp,192.168.0.126,53618,  <->,192.168.0.1,53,2,222,CON
1574786757.194354, e        ,tcp,192.168.0.126,53231,   ->,76.13.32.146,443,33,7851,CON
1574786757.229860, e        ,tcp,192.168.0.126,53232,   ->,23.46.198.165,443,127,107285,CON
1574786757.236101, e        ,tcp,192.168.0.126,53181,   ->,31.13.66.35,443,27,4895,CON
1574786757.246586, e r      ,tcp,192.168.0.126,53233,   ->,63.241.108.104,443,24,12812,CON
1574786757.247280, e        ,udp,192.168.0.126,57407,  <->,192.168.0.1,53,2,192,CON
1574786757.247557, e        ,tcp,192.168.0.126,53234,   ->,63.241.108.104,443,34,18863,CON
1574786757.258124, e        ,udp,192.168.0.126,53063,  <->,192.168.0.1,53,2,291,CON
